Name,ABN,Total income $,Taxable income $,Tax payable $,Income year
ASX LIMITED,98008624691,1017076601,708457597,203710614,2020-21
AT&T GLOBAL NETWORK SERVICES AUSTRALIA PTY LTD,72087916701,152697054,8575063,2572519,2020-21
ATCO AUSTRALIA PTY LTD,74091033546,205863270,5714185,0,2020-21
ATCO STRUCTURES & LOGISTICS PTY LTD,71083902309,211992972,34798008,10439402,2020-21
ATI GLOBAL LIMITED,31634158204,363568129,20039485,805216,2020-21
ATLAS COPCO AUSTRALIA PTY LIMITED,85620125153,162473397,5371524,1608520,2020-21
ATLAS IRON PTY LTD,63110396168,1714996071,29116889,8735067,2020-21
ATLASSIAN AUSTRALIA 1 PTY LTD,98166799542,2666677215,493122121,77170317,2020-21
AUB GROUP LIMITED,60000000715,146058486,78190874,712716,2020-21
AUDANT INVESTMENTS PTY LIMITED,33002892855,209508123,14737392,3633239,2020-21
AUDI AUSTRALIA PTY LIMITED,86077092776,952481034,42804577,12841373,2020-21
AUDIBLE AUSTRALIA PTY LTD,89624383811,110203829,8490071,2527552,2020-21
AURECON GROUP PTY LTD,12133838187,761110011,82257627,24542979,2020-21
AURELIA METALS LIMITED,37108476384,428301553,21566529,6469959,2020-21
AURIZON HOLDINGS LIMITED,14146335622,3284167199,355285933,104662759,2020-21
AUSBAO PTY LIMITED,78051968597,120825870,19334674,5800402,2020-21
AUSCAN HOLDINGS PTY LTD,70084400886,197167400,2349252,704776,2020-21
AUSCO HOLDINGS PTY LIMITED,13150795547,327246830,0,0,2020-21
AUSENCO PTY LTD,31114541114,108055478,0,0,2020-21
AUSGRID FINANCE PTY LTD,14615343005,447035084,0,0,2020-21
AUSGRID MANAGEMENT PTY LTD,83615449548,539208435,0,0,2020-21
AUSGROUP COMPANIES PTY LTD,59081037274,195362135,32337992,0,2020-21
AUSNET SERVICES LTD.,45603317559,1966325281,231703386,69182188,2020-21
AUSREO HOLDINGS PTY LIMITED,22125694055,301993099,9191677,2673268,2020-21
AUSSIE BROADBAND LIMITED,29132090192,350278350,2416308,724892,2020-21
AUSTAL LIMITED,73009250266,579413908,27968211,0,2020-21
AUSTCORP GROUP (AUST) PTY LTD,81080926414,204108604,15322351,3796755,2020-21
AUSTIN ENGINEERING LIMITED,60078480136,123063132,0,0,2020-21
AUSTRALASIAN FOODS HOLDCO PTY LIMITED,70612640329,372632868,51472205,10779740,2020-21
AUSTRALASIAN PERFORMING RIGHT ASSOCIATION LIMITED,42000016099,329775943,0,0,2020-21
AUSTRALASIAN SOLVENTS AND CHEMICALS COMPANY PTY LTD,57095441080,131263487,5893509,1768053,2020-21
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,11005357522,20927821232,5672322322,1631567812,2020-21
AUSTRALIA MILLING GROUP PTY LTD,57127428406,105656919,0,0,2020-21
AUSTRALIA PACIFIC AIRPORTS CORPORATION LIMITED,89069775266,737949631,0,0,2020-21
AUSTRALIA PACIFIC LNG PTY LTD,68001646331,4615938979,0,0,2020-21
AUSTRALIA ZHIRAN CO. PTY LTD,87619268727,205381373,6081243,1824373,2020-21
AUSTRALIAN AGED CARE PARTNERS HOLDINGS PTY LTD,20162265983,436705932,13202337,3960701,2020-21
AUSTRALIAN AGRICULTURAL COMPANY LIMITED,15010892270,493259183,0,0,2020-21
AUSTRALIAN BAKELS PTY LTD,35000112836,136592112,15525974,4657792,2020-21
AUSTRALIAN BULLION COMPANY (NSW) PTY LTD,82002858602,1473209210,9657501,2897250,2020-21
AUSTRALIAN CENTRAL CREDIT UNION LTD,11087651125,341687259,22337226,6512104,2020-21
AUSTRALIAN CLINICAL LABS LIMITED,94645711128,329949802,37337004,11140559,2020-21
AUSTRALIAN COMFORT GROUP HOLDINGS PTY LTD,48143785522,206196379,0,0,2020-21
AUSTRALIAN COUNTRY CHOICE HOLDINGS PTY LTD,87009729999,885425221,13237108,3971132,2020-21
AUSTRALIAN DAIRY FARMERS CORPORATION LTD,80456117281,150786295,399914,119974,2020-21
AUSTRALIAN FINANCE GROUP LIMITED,11066385822,776277090,69512400,20853720,2020-21
AUSTRALIAN FOOD & AGRICULTURE COMPANY LIMITED,38005858293,143520431,0,0,2020-21
AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED,56004147120,273197771,304368220,23278224,2020-21
AUSTRALIAN GAS NETWORKS HOLDINGS PTY LIMITED,24169818026,656301758,3456767,1037030,2020-21
AUSTRALIAN GOLD REAGENTS PTY LTD,93009140121,233041622,0,0,2020-21
AUSTRALIAN GRAIN EXPORT PTY LTD,92073563185,869254098,0,0,2020-21
AUSTRALIAN LAMB COMPANY PTY LTD,51007340123,442463431,6603033,1980910,2020-21
AUSTRALIAN LEADERS FUND LIMITED,64106845970,484460391,13602706,3803026,2020-21
AUSTRALIAN LEISURE AND HOSPITALITY GROUP PTY LIMITED,37067391511,4980574800,563618001,169085400,2020-21
